,Unnamed: 0,JWTRNS_8.0,HISP_2,HISP_4,HISP_21,HISP_24,OCCP_6240.0,OCCP_9830.0,RAC1P_3,RAC1P_7,RAC1P_9,RACASN_0,RACASN_1,RACNH_0,RACNH_1,RACNUM_1,RACNUM_2,RACNUM_3,RACNUM_4,RACPI_0,RACPI_1,SFR_2.0,WAOB_8,OCCP_510.0,RACNUM_5,RACNUM_6,OCCP_2755.0,INTP,OIP,PAP,RETP,SEMP,SSIP,SSP,WAGP,PERNP,PINCP,POVPIP,Label_y
0,0,0.001128923007450892,0.02223978324678257,0.0016933845111763376,0.00011289230074508918,0.0031609844208624967,0.0007902461052156242,0.0004515692029803566,0.003838338225333032,0.0010160307067058026,0.02551365996839016,0.9619552946489051,0.038044705351095054,0.9995484307970196,0.0004515692029803566,0.9744863400316098,0.024046060058704,0.001241815308195981,0.00022578460149017842,0.998758184691804,0.001241815308195981,0.002483630616391962,0.0007902461052156242,0.0,0.0,0.0,0.0,2307.889181017484,656.4006835809123,26.495333245694763,4254.678585513344,1462.6805573813594,261.009596424346,4196.304719337451,28993.56645195215,30853.731655346914,42159.02523991061,343.2043940633401,0.0
1,1,0.001809834907742562,0.2277743444866249,0.0020011182719755155,0.00039728083340690384,0.008460610341072953,0.0010005591359877578,0.0006768488272858363,0.0698478561549101,0.00239839910538242,0.033827727259350814,0.9581972278626292,0.04180277213737088,0.9981607368823756,0.0018392631176245551,0.9661722727406492,0.03064948059209558,0.002854536358553309,0.0002942820988199288,0.9972190341661517,0.002780965833848327,0.0029722491980812807,0.0008092757717548043,4.414231482298932e-05,1.471410494099644e-05,1.471410494099644e-05,0.0,2415.002125683256,686.9078989675253,30.01107498838913,2809.3014540387976,1575.6877746418493,266.6105176663928,3584.6163052409706,24423.874888356968,26410.951134095445,35792.01203958415,294.20792411907564,1.0
2,2,0.0007645259938837921,0.013888888888888888,0.0,0.00012742099898063202,0.0022935779816513767,0.00025484199796126404,0.001529051987767584,0.05007645259938838,0.0005096839959225281,0.019240570846075437,0.9903160040774721,0.00968399592252803,0.9989806320081548,0.0010193679918450561,0.9807594291539246,0.017966360856269112,0.0011467889908256881,0.00012742099898063202,0.9991080530071356,0.000891946992864424,0.00127420998980632,0.0006371049949031602,0.000382262996941896,0.0,0.0,0.0,3120.170580003109,834.072461514539,23.730368527445194,1677.891463225004,4925.406935157829,176.4733322966879,3179.5552791167784,27279.36712797388,32718.625908372822,41216.66754781527,338.0949265687584,0.0
3,3,0.000445777968281183,0.012901843120445778,0.0006086583797685383,0.00018859837119588515,0.0016716673810544364,0.0004372053150450064,0.00023146163737676806,0.001063009001285898,0.00030861551650235747,0.02410630090012859,0.9770081440205745,0.022991855979425636,0.9997513930561508,0.00024860694384912127,0.9758936990998714,0.022520360051435918,0.0014402057436776682,0.00013716245177882556,0.9993056150878696,0.0006943849121303044,0.002126018002571796,0.0002571795970852979,2.571795970852979e-05,8.572653236176597e-06,0.0,0.0,1898.92014882656,582.1104955433807,39.218149480742504,2979.6743396843567,1411.905910131654,303.5515986589255,3389.5246953961896,25511.141732766373,27327.235544949945,36116.0470807098,310.9376236117451,1.0
4,4,0.0007455605259590619,0.037820252135014235,0.000474447607428494,6.777822963264199e-05,0.00271112918530568,0.00044055849261217297,0.0005761149518774568,0.005828927748407211,0.0017961230852650129,0.023519045682526774,0.9856649044326962,0.014335095567303781,0.9996272197370204,0.00037278026297953097,0.9764809543174732,0.02209570286024129,0.00135556459265284,6.777822963264199e-05,0.9972888708146944,0.00271112918530568,0.0027789074149383213,0.0018300122000813337,6.777822963264199e-05,0.0,0.0,0.0,1374.8095179587992,695.6026538886839,22.465495351599298,1987.3559405332348,1321.30192079289,354.76102715321286,3770.271122578531,20690.43043780972,22375.539925062447,30216.99811606668,275.47205677805914,1.0
5,5,0.0005538972828261072,0.04007549414817778,0.003149008626437312,0.0007590444246135541,0.00209250084623196,0.0004923531402898729,0.0014668020637802464,0.0027284569857730463,0.0005026104973792452,0.023745781661897,0.954795827307136,0.04520417269286396,0.9995589336451569,0.00044106635484301125,0.976254218338103,0.021571221958950056,0.0018258095619082789,0.0002872059985024259,0.9987383450780072,0.0012616549219927992,0.002851545270845514,0.00044106635484301125,5.128678544686176e-05,6.154414253623411e-05,0.0,0.0,1791.8347754838546,658.6452309716826,24.116894886469442,2634.400243324105,1484.638514729799,281.78421124504973,3145.2005561693823,27001.677992824414,28947.019402288413,37022.29844446376,302.93706952879796,1.0
6,6,0.0013182635709614128,0.0265952011118378,0.06321533682145193,0.007638775343361675,0.006024157946370175,0.0008839519293655985,0.0009759238064094179,0.0022839682799215173,0.0007051177240026161,0.02366742969260955,0.9664558126226293,0.03354418737737083,0.9994634973839108,0.000536502616088947,0.9763325703073904,0.02162361020274689,0.0018598757357750164,0.0001583960104643558,0.998553997710922,0.0014460022890778286,0.0027591563113145852,0.0005518312622629169,3.065729234793983e-05,2.554774362328319e-05,0.0,0.0,3343.6580733748633,688.1816182414761,26.726722621142233,3127.535974130962,1635.3432700080841,265.17874126206664,4085.5923367730293,24484.33858005611,26453.51136904081,37656.555334300254,304.5135618985069,0.0
7,7,0.001654886347456284,0.2889979609436076,0.002452777979265564,0.00033581297635070694,0.009260378635847095,0.0007199830212959158,0.0005964038459988555,0.006952671862365037,0.003581109579803939,0.04780096230566503,0.8273786976366826,0.1726213023633174,0.9979690031190308,0.002030996880969076,0.952199037694335,0.0434165880864302,0.003949160601884313,0.0003761105335127918,0.9942428223334436,0.0057571776665565205,0.005405245667340979,0.0023399448192117263,2.1492030486445244e-05,5.641658002691877e-05,2.6865038108056555e-06,5.373007621611311e-06,2949.709289310793,664.7969408721291,62.593968834570376,2673.540285720737,2659.9651929050424,305.9961680262432,2613.892259606545,31392.656867393707,34571.26406153805,43323.15097266978,319.93494539434937,0.0
8,8,0.0002942041776993233,0.022947925860547218,0.00044130626654898496,0.0,0.0020594292438952627,0.0002942041776993233,0.0029420417769932326,0.005442777287437482,0.009267431597528684,0.06119446896145925,0.9457193292144748,0.05428067078552516,0.9948514268902618,0.00514857310973816,0.9388055310385408,0.055898793762871435,0.00441306266548985,0.0008826125330979699,0.987790526625478,0.01220947337452192,0.0035304501323918797,0.0017652250661959398,0.0,0.0,0.0,0.0,1784.223777564717,1402.8648130393094,133.4151486097795,2503.560882070949,2122.447171620326,228.85906040268452,1957.0182166826464,27202.772770853306,29869.340234375,37335.16184084372,297.8483915653378,0.0
9,9,0.0015069697350244885,0.07911591108878563,0.0002511616225040814,0.00043953283938214237,0.004018585960065302,0.0006279040562602034,0.0002511616225040814,0.017644103980911718,0.0015069697350244885,0.020846414667838757,0.9842396081878688,0.01576039181213111,0.9990581439156097,0.0009418560843903053,0.9791535853321612,0.01984176817782243,0.0008790656787642849,6.279040562602035e-05,0.9979907070199674,0.002009292980032651,0.002762777847544895,0.0010674368956423456,6.279040562602035e-05,6.279040562602035e-05,0.0,0.0,1859.9190838484706,609.2051038199397,42.83008400697416,2270.901093675701,2420.0679980979558,277.8174037089872,3622.019337454431,21818.88492629577,24677.029853154752,32921.645030908236,287.28882587962363,0.0
