,INTP,OIP,PAP,RETP,SEMP,SSIP,SSP,WAGP,PERNP,PINCP,POVPIP,Label
0,2307.8891810174837,656.4006835809123,26.495333245694756,4254.678585513344,1462.6805573813597,261.009596424346,4196.304719337452,28993.56645195215,30853.731655346914,42159.02523991061,343.20439406334003,0.0
1,2415.0021256832556,686.9078989675253,30.011074988389126,2809.3014540387976,1575.6877746418493,266.6105176663928,3584.6163052409706,24423.87488835697,26410.951134095445,35792.01203958415,294.20792411907564,1.0
2,3120.1705800031095,834.072461514539,23.730368527445187,1677.891463225004,4925.40693515783,176.47333229668791,3179.5552791167784,27279.367127973877,32718.625908372826,41216.66754781527,338.09492656875835,0.0
3,1898.9201488265596,582.1104955433806,39.2181494807425,2979.6743396843563,1411.905910131654,303.5515986589255,3389.5246953961896,25511.141732766373,27327.235544949945,36116.047080709795,310.9376236117451,1.0
4,1374.8095179587992,695.602653888684,22.465495351599298,1987.355940533235,1321.30192079289,354.7610271532129,3770.271122578531,20690.43043780972,22375.539925062447,30216.998116066676,275.47205677805914,1.0
5,1791.8347754838549,658.6452309716826,24.11689488646944,2634.4002433241053,1484.6385147297988,281.7842112450497,3145.2005561693823,27001.677992824418,28947.019402288413,37022.29844446376,302.937069528798,1.0
6,3343.6580733748633,688.1816182414761,26.726722621142233,3127.535974130962,1635.3432700080841,265.17874126206664,4085.5923367730284,24484.33858005611,26453.51136904081,37656.555334300254,304.51356189850696,0.0
7,2949.709289310793,664.7969408721291,62.593968834570376,2673.540285720737,2659.9651929050424,305.9961680262432,2613.892259606545,31392.656867393704,34571.26406153805,43323.15097266978,319.93494539434937,0.0
8,1784.223777564717,1402.8648130393094,133.4151486097795,2503.5608820709494,2122.447171620326,228.85906040268455,1957.0182166826462,27202.772770853306,29869.340234375,37335.16184084372,297.84839156533786,0.0
9,1859.9190838484706,609.2051038199398,42.83008400697416,2270.901093675701,2420.0679980979553,277.8174037089872,3622.0193374544306,21818.88492629577,24677.029853154752,32921.64503090823,287.28882587962363,0.0
10,2137.544054379625,584.0637105872005,34.85506415036617,2816.0311287022696,1628.2859519302474,266.6093041931968,3138.4988240692937,30516.342473087432,32629.399518652237,41122.23051109964,328.155747426742,0.0
11,1986.005689260787,615.4783866742263,23.061252419402138,2479.3601047918823,1645.5780562669847,298.26897886566695,3569.059219144069,24137.993509159514,26185.967912951965,34754.80517703181,302.26301580521147,1.0
12,3054.0738368172624,651.7464598786243,77.39716790289951,3214.509440323668,2255.0019386378963,194.42852326365474,3114.3813216453136,28632.79669588672,31328.78883474395,41194.33538435604,352.30060579196214,0.0
13,1638.0389232812856,741.3176771347652,21.010050377202436,3008.027018221008,1282.4239955888618,349.70801273214863,3897.461841148901,21858.59530314043,23482.375670795285,32796.5828216246,291.1236348423463,1.0
14,1359.4353986752747,570.9810513959922,26.348620776389705,2326.9411419468433,1513.0407898046449,381.8311394315419,3540.218831223275,19570.108157960927,21416.23451007111,29288.905131214888,266.91517122912177,1.0
